Format, Trivinci Systems LLC, V2
Device type, Road-Keeper dual 1080p
Starting Date, 20/5/2023
Starting Time, 16:24:41
sample rate (samps/sec), 30
duration (secs), 900.5
GPS sample rate (Hz), 10
GPS Reading, GPS Time, GPS Weeks, Elapsed Time, Lat (Degrees), Lon (Degrees), Lat (feet), Lon (feet), Altitude (feet), Temperature (degrees F), EastVel, NorthVel, VertVel, Velocity (MPH), Heading(Deg), XGs, YGs, RPMs, D4, D5, A0, A1, A2, A3, Gear, Brake (calc), Accel (calc), Lap, Brake (bar)
1, 0, 0, 0, 52.387549, 4.544897, 0, 0, 0, 0, 0, 0, 0, 33, 247.729996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387549, 4.544897, 0, 0, 0, 0, 0, 0, 0, 33, 247.729996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387549, 4.544897, 0, 0, 0, 0, 0, 0, 0, 33, 247.729996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387541, 4.544877, 0, 0, 0, 0, 0, 0, 0, 33, 247.320007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387541, 4.544877, 0, 0, 0, 0, 0, 0, 0, 33, 247.320007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387541, 4.544877, 0, 0, 0, 0, 0, 0, 0, 33, 247.320007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387533, 4.544856, 0, 0, 0, 0, 0, 0, 0, 33, 247.240005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387533, 4.544856, 0, 0, 0, 0, 0, 0, 0, 33, 247.240005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387533, 4.544856, 0, 0, 0, 0, 0, 0, 0, 33, 247.240005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387533, 4.544836, 0, 0, 0, 0, 0, 0, 0, 33, 247.119995, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387533, 4.544836, 0, 0, 0, 0, 0, 0, 0, 33, 247.119995, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387533, 4.544836, 0, 0, 0, 0, 0, 0, 0, 33, 247.119995, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387524, 4.544816, 0, 0, 0, 0, 0, 0, 0, 33, 247.039993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387524, 4.544816, 0, 0, 0, 0, 0, 0, 0, 33, 247.039993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387524, 4.544816, 0, 0, 0, 0, 0, 0, 0, 33, 247.039993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387516, 4.544795, 0, 0, 0, 0, 0, 0, 0, 33, 246.940002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387516, 4.544795, 0, 0, 0, 0, 0, 0, 0, 33, 246.940002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387516, 4.544795, 0, 0, 0, 0, 0, 0, 0, 33, 246.940002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387516, 4.544775, 0, 0, 0, 0, 0, 0, 0, 33, 246.529999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387516, 4.544775, 0, 0, 0, 0, 0, 0, 0, 33, 246.529999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387516, 4.544775, 0, 0, 0, 0, 0, 0, 0, 33, 246.529999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387508, 4.544755, 0, 0, 0, 0, 0, 0, 0, 33, 246.589996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387508, 4.544755, 0, 0, 0, 0, 0, 0, 0, 33, 246.589996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387508, 4.544755, 0, 0, 0, 0, 0, 0, 0, 33, 246.589996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387500, 4.544734, 0, 0, 0, 0, 0, 0, 0, 33, 246.550003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387500, 4.544734, 0, 0, 0, 0, 0, 0, 0, 33, 246.550003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387500, 4.544734, 0, 0, 0, 0, 0, 0, 0, 33, 246.550003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387500, 4.544713, 0, 0, 0, 0, 0, 0, 0, 33, 246.679993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387500, 4.544713, 0, 0, 0, 0, 0, 0, 0, 33, 246.679993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387500, 4.544713, 0, 0, 0, 0, 0, 0, 0, 33, 246.679993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387500, 4.544713, 0, 0, 0, 0, 0, 0, 0, 33, 246.679993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387500, 4.544713, 0, 0, 0, 0, 0, 0, 0, 33, 246.679993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387500, 4.544713, 0, 0, 0, 0, 0, 0, 0, 33, 246.679993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387500, 4.544713, 0, 0, 0, 0, 0, 0, 0, 33, 246.679993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387500, 4.544713, 0, 0, 0, 0, 0, 0, 0, 33, 246.679993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387500, 4.544713, 0, 0, 0, 0, 0, 0, 0, 33, 246.679993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387484, 4.544651, 0, 0, 0, 0, 0, 0, 0, 34, 246.399994, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387484, 4.544651, 0, 0, 0, 0, 0, 0, 0, 34, 246.399994, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387484, 4.544651, 0, 0, 0, 0, 0, 0, 0, 34, 246.399994, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387476, 4.544631, 0, 0, 0, 0, 0, 0, 0, 34, 246.190002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387476, 4.544631, 0, 0, 0, 0, 0, 0, 0, 34, 246.190002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387476, 4.544631, 0, 0, 0, 0, 0, 0, 0, 34, 246.190002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387467, 4.544610, 0, 0, 0, 0, 0, 0, 0, 34, 245.970001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387467, 4.544610, 0, 0, 0, 0, 0, 0, 0, 34, 245.970001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387467, 4.544610, 0, 0, 0, 0, 0, 0, 0, 34, 245.970001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387467, 4.544590, 0, 0, 0, 0, 0, 0, 0, 34, 246.059998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387467, 4.544590, 0, 0, 0, 0, 0, 0, 0, 34, 246.059998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387467, 4.544590, 0, 0, 0, 0, 0, 0, 0, 34, 246.059998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387459, 4.544569, 0, 0, 0, 0, 0, 0, 0, 34, 245.960007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387459, 4.544569, 0, 0, 0, 0, 0, 0, 0, 34, 245.960007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387459, 4.544569, 0, 0, 0, 0, 0, 0, 0, 34, 245.960007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387451, 4.544548, 0, 0, 0, 0, 0, 0, 0, 34, 245.910004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387451, 4.544548, 0, 0, 0, 0, 0, 0, 0, 34, 245.910004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387451, 4.544548, 0, 0, 0, 0, 0, 0, 0, 34, 245.910004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387451, 4.544528, 0, 0, 0, 0, 0, 0, 0, 34, 245.880005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387451, 4.544528, 0, 0, 0, 0, 0, 0, 0, 34, 245.880005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387451, 4.544528, 0, 0, 0, 0, 0, 0, 0, 34, 245.880005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387443, 4.544507, 0, 0, 0, 0, 0, 0, 0, 34, 245.639999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387443, 4.544507, 0, 0, 0, 0, 0, 0, 0, 34, 245.639999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387443, 4.544507, 0, 0, 0, 0, 0, 0, 0, 34, 245.639999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387435, 4.544486, 0, 0, 0, 0, 0, 0, 0, 34, 245.649994, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387435, 4.544486, 0, 0, 0, 0, 0, 0, 0, 34, 245.649994, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387435, 4.544486, 0, 0, 0, 0, 0, 0, 0, 34, 245.649994, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387427, 4.544465, 0, 0, 0, 0, 0, 0, 0, 34, 245.449997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387427, 4.544465, 0, 0, 0, 0, 0, 0, 0, 34, 245.449997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387427, 4.544465, 0, 0, 0, 0, 0, 0, 0, 34, 245.449997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387427, 4.544444, 0, 0, 0, 0, 0, 0, 0, 34, 245.300003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387427, 4.544444, 0, 0, 0, 0, 0, 0, 0, 34, 245.300003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387427, 4.544444, 0, 0, 0, 0, 0, 0, 0, 34, 245.300003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387419, 4.544423, 0, 0, 0, 0, 0, 0, 0, 34, 245.330002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387419, 4.544423, 0, 0, 0, 0, 0, 0, 0, 34, 245.330002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387419, 4.544423, 0, 0, 0, 0, 0, 0, 0, 34, 245.330002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387410, 4.544403, 0, 0, 0, 0, 0, 0, 0, 34, 245.270004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387410, 4.544403, 0, 0, 0, 0, 0, 0, 0, 34, 245.270004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387410, 4.544403, 0, 0, 0, 0, 0, 0, 0, 34, 245.270004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387410, 4.544382, 0, 0, 0, 0, 0, 0, 0, 34, 245.229996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387410, 4.544382, 0, 0, 0, 0, 0, 0, 0, 34, 245.229996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387410, 4.544382, 0, 0, 0, 0, 0, 0, 0, 34, 245.229996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387402, 4.544361, 0, 0, 0, 0, 0, 0, 0, 34, 245.020004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387402, 4.544361, 0, 0, 0, 0, 0, 0, 0, 34, 245.020004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387402, 4.544361, 0, 0, 0, 0, 0, 0, 0, 34, 245.020004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387394, 4.544341, 0, 0, 0, 0, 0, 0, 0, 34, 244.910004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387394, 4.544341, 0, 0, 0, 0, 0, 0, 0, 34, 244.910004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387394, 4.544341, 0, 0, 0, 0, 0, 0, 0, 34, 244.910004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387386, 4.544320, 0, 0, 0, 0, 0, 0, 0, 34, 244.660004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387386, 4.544320, 0, 0, 0, 0, 0, 0, 0, 34, 244.660004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387386, 4.544320, 0, 0, 0, 0, 0, 0, 0, 34, 244.660004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387386, 4.544299, 0, 0, 0, 0, 0, 0, 0, 34, 244.570007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387386, 4.544299, 0, 0, 0, 0, 0, 0, 0, 34, 244.570007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387386, 4.544299, 0, 0, 0, 0, 0, 0, 0, 34, 244.570007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.387378, 4.544278, 0, 0, 0, 0, 0, 0, 0, 34, 244.630005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387378, 4.544278, 0, 0, 0, 0, 0, 0, 0, 34, 244.630005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.387378, 4.544278, 0, 0, 0, 0, 0, 0, 0, 34, 244.630005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
