Format, Trivinci Systems LLC, V2
Device type, Road-Keeper dual 1080p
Starting Date, 20/5/2023
Starting Time, 16:29:17
sample rate (samps/sec), 30
duration (secs), 276.033
GPS sample rate (Hz), 10
GPS Reading, GPS Time, GPS Weeks, Elapsed Time, Lat (Degrees), Lon (Degrees), Lat (feet), Lon (feet), Altitude (feet), Temperature (degrees F), EastVel, NorthVel, VertVel, Velocity (MPH), Heading(Deg), XGs, YGs, RPMs, D4, D5, A0, A1, A2, A3, Gear, Brake (calc), Accel (calc), Lap, Brake (bar)
1, 0, 0, 0, 52.388102, 4.541783, 0, 0, 0, 0, 0, 0, 0, 31, 90.339996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541783, 0, 0, 0, 0, 0, 0, 0, 31, 90.339996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541783, 0, 0, 0, 0, 0, 0, 0, 31, 90.339996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388102, 4.541847, 0, 0, 0, 0, 0, 0, 0, 31, 86.040001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541847, 0, 0, 0, 0, 0, 0, 0, 31, 86.040001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541847, 0, 0, 0, 0, 0, 0, 0, 31, 86.040001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388102, 4.541869, 0, 0, 0, 0, 0, 0, 0, 32, 84.879997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541869, 0, 0, 0, 0, 0, 0, 0, 32, 84.879997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541869, 0, 0, 0, 0, 0, 0, 0, 32, 84.879997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388110, 4.541889, 0, 0, 0, 0, 0, 0, 0, 32, 83.169998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388110, 4.541889, 0, 0, 0, 0, 0, 0, 0, 32, 83.169998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388110, 4.541889, 0, 0, 0, 0, 0, 0, 0, 32, 83.169998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388110, 4.541911, 0, 0, 0, 0, 0, 0, 0, 32, 82.029999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388110, 4.541911, 0, 0, 0, 0, 0, 0, 0, 32, 82.029999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388110, 4.541911, 0, 0, 0, 0, 0, 0, 0, 32, 82.029999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388110, 4.541933, 0, 0, 0, 0, 0, 0, 0, 32, 80.589996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388110, 4.541933, 0, 0, 0, 0, 0, 0, 0, 32, 80.589996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388110, 4.541933, 0, 0, 0, 0, 0, 0, 0, 32, 80.589996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388118, 4.541954, 0, 0, 0, 0, 0, 0, 0, 32, 79.419998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388118, 4.541954, 0, 0, 0, 0, 0, 0, 0, 32, 79.419998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388118, 4.541954, 0, 0, 0, 0, 0, 0, 0, 32, 79.419998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388118, 4.541975, 0, 0, 0, 0, 0, 0, 0, 32, 77.919998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388118, 4.541975, 0, 0, 0, 0, 0, 0, 0, 32, 77.919998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388118, 4.541975, 0, 0, 0, 0, 0, 0, 0, 32, 77.919998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388127, 4.541996, 0, 0, 0, 0, 0, 0, 0, 32, 77.040001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388127, 4.541996, 0, 0, 0, 0, 0, 0, 0, 32, 77.040001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388127, 4.541996, 0, 0, 0, 0, 0, 0, 0, 32, 77.040001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388127, 4.542018, 0, 0, 0, 0, 0, 0, 0, 32, 75.730003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388127, 4.542018, 0, 0, 0, 0, 0, 0, 0, 32, 75.730003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388127, 4.542018, 0, 0, 0, 0, 0, 0, 0, 32, 75.730003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388127, 4.542039, 0, 0, 0, 0, 0, 0, 0, 33, 75.339996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388127, 4.542039, 0, 0, 0, 0, 0, 0, 0, 33, 75.339996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388127, 4.542039, 0, 0, 0, 0, 0, 0, 0, 33, 75.339996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388135, 4.542061, 0, 0, 0, 0, 0, 0, 0, 33, 74.260002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388135, 4.542061, 0, 0, 0, 0, 0, 0, 0, 33, 74.260002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388135, 4.542061, 0, 0, 0, 0, 0, 0, 0, 33, 74.260002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388135, 4.542083, 0, 0, 0, 0, 0, 0, 0, 33, 73.330002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388135, 4.542083, 0, 0, 0, 0, 0, 0, 0, 33, 73.330002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388135, 4.542083, 0, 0, 0, 0, 0, 0, 0, 33, 73.330002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388143, 4.542104, 0, 0, 0, 0, 0, 0, 0, 34, 72.389999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388143, 4.542104, 0, 0, 0, 0, 0, 0, 0, 34, 72.389999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388143, 4.542104, 0, 0, 0, 0, 0, 0, 0, 34, 72.389999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388151, 4.542126, 0, 0, 0, 0, 0, 0, 0, 34, 71.559998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388151, 4.542126, 0, 0, 0, 0, 0, 0, 0, 34, 71.559998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388151, 4.542126, 0, 0, 0, 0, 0, 0, 0, 34, 71.559998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388151, 4.542148, 0, 0, 0, 0, 0, 0, 0, 34, 70.860001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388151, 4.542148, 0, 0, 0, 0, 0, 0, 0, 34, 70.860001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388151, 4.542148, 0, 0, 0, 0, 0, 0, 0, 34, 70.860001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388159, 4.542170, 0, 0, 0, 0, 0, 0, 0, 34, 70.260002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388159, 4.542170, 0, 0, 0, 0, 0, 0, 0, 34, 70.260002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388159, 4.542170, 0, 0, 0, 0, 0, 0, 0, 34, 70.260002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388167, 4.542192, 0, 0, 0, 0, 0, 0, 0, 34, 69.620003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388167, 4.542192, 0, 0, 0, 0, 0, 0, 0, 34, 69.620003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388167, 4.542192, 0, 0, 0, 0, 0, 0, 0, 34, 69.620003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388167, 4.542213, 0, 0, 0, 0, 0, 0, 0, 35, 68.910004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388167, 4.542213, 0, 0, 0, 0, 0, 0, 0, 35, 68.910004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388167, 4.542213, 0, 0, 0, 0, 0, 0, 0, 35, 68.910004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388175, 4.542236, 0, 0, 0, 0, 0, 0, 0, 35, 68.620003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388175, 4.542236, 0, 0, 0, 0, 0, 0, 0, 35, 68.620003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388175, 4.542236, 0, 0, 0, 0, 0, 0, 0, 35, 68.620003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388184, 4.542258, 0, 0, 0, 0, 0, 0, 0, 36, 67.839996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388184, 4.542258, 0, 0, 0, 0, 0, 0, 0, 36, 67.839996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388184, 4.542258, 0, 0, 0, 0, 0, 0, 0, 36, 67.839996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388184, 4.542281, 0, 0, 0, 0, 0, 0, 0, 36, 67.949997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388184, 4.542281, 0, 0, 0, 0, 0, 0, 0, 36, 67.949997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388184, 4.542281, 0, 0, 0, 0, 0, 0, 0, 36, 67.949997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388192, 4.542304, 0, 0, 0, 0, 0, 0, 0, 36, 67.349998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388192, 4.542304, 0, 0, 0, 0, 0, 0, 0, 36, 67.349998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388192, 4.542304, 0, 0, 0, 0, 0, 0, 0, 36, 67.349998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388200, 4.542327, 0, 0, 0, 0, 0, 0, 0, 36, 67.050003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388200, 4.542327, 0, 0, 0, 0, 0, 0, 0, 36, 67.050003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388200, 4.542327, 0, 0, 0, 0, 0, 0, 0, 36, 67.050003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388208, 4.542350, 0, 0, 0, 0, 0, 0, 0, 37, 66.980003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388208, 4.542350, 0, 0, 0, 0, 0, 0, 0, 37, 66.980003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388208, 4.542350, 0, 0, 0, 0, 0, 0, 0, 37, 66.980003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388208, 4.542373, 0, 0, 0, 0, 0, 0, 0, 37, 66.669998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388208, 4.542373, 0, 0, 0, 0, 0, 0, 0, 37, 66.669998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388208, 4.542373, 0, 0, 0, 0, 0, 0, 0, 37, 66.669998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388216, 4.542396, 0, 0, 0, 0, 0, 0, 0, 37, 66.870003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388216, 4.542396, 0, 0, 0, 0, 0, 0, 0, 37, 66.870003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388216, 4.542396, 0, 0, 0, 0, 0, 0, 0, 37, 66.870003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388224, 4.542419, 0, 0, 0, 0, 0, 0, 0, 37, 66.949997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388224, 4.542419, 0, 0, 0, 0, 0, 0, 0, 37, 66.949997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388224, 4.542419, 0, 0, 0, 0, 0, 0, 0, 37, 66.949997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388232, 4.542443, 0, 0, 0, 0, 0, 0, 0, 38, 66.839996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388232, 4.542443, 0, 0, 0, 0, 0, 0, 0, 38, 66.839996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388232, 4.542443, 0, 0, 0, 0, 0, 0, 0, 38, 66.839996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388232, 4.542467, 0, 0, 0, 0, 0, 0, 0, 38, 66.879997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388232, 4.542467, 0, 0, 0, 0, 0, 0, 0, 38, 66.879997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388232, 4.542467, 0, 0, 0, 0, 0, 0, 0, 38, 66.879997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388241, 4.542491, 0, 0, 0, 0, 0, 0, 0, 38, 66.930000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388241, 4.542491, 0, 0, 0, 0, 0, 0, 0, 38, 66.930000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388241, 4.542491, 0, 0, 0, 0, 0, 0, 0, 38, 66.930000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388249, 4.542515, 0, 0, 0, 0, 0, 0, 0, 39, 67.080002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388249, 4.542515, 0, 0, 0, 0, 0, 0, 0, 39, 67.080002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388249, 4.542515, 0, 0, 0, 0, 0, 0, 0, 39, 67.080002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
